movieid,title,year,mean_rating
2357,Central Station (Central do Brasil) (1998),1998,3.36364
2357,Central Station (Central do Brasil) (1998),1999,4.23913
2357,Central Station (Central do Brasil) (1998),2000,4.24259
2357,Central Station (Central do Brasil) (1998),2001,4.14213
2357,Central Station (Central do Brasil) (1998),2002,4.12397
2357,Central Station (Central do Brasil) (1998),2003,4.11508
2357,Central Station (Central do Brasil) (1998),2004,4.00000
2357,Central Station (Central do Brasil) (1998),2005,4.08140
2357,Central Station (Central do Brasil) (1998),2006,3.94505
2357,Central Station (Central do Brasil) (1998),2007,4.00568
2357,Central Station (Central do Brasil) (1998),2008,3.64773
2357,Central Station (Central do Brasil) (1998),2009,3.72449
2357,Central Station (Central do Brasil) (1998),2010,3.78378
2357,Central Station (Central do Brasil) (1998),2011,3.86250
2357,Central Station (Central do Brasil) (1998),2012,3.60185
2357,Central Station (Central do Brasil) (1998),2013,3.77273
2357,Central Station (Central do Brasil) (1998),2014,3.82759
2357,Central Station (Central do Brasil) (1998),2015,3.86607
2357,Central Station (Central do Brasil) (1998),2016,3.92553
2357,Central Station (Central do Brasil) (1998),2017,3.45000
2357,Central Station (Central do Brasil) (1998),2018,3.93750
2357,Central Station (Central do Brasil) (1998),2019,3.85185
2357,Central Station (Central do Brasil) (1998),2020,4.22093
2357,Central Station (Central do Brasil) (1998),2021,4.07692
2357,Central Station (Central do Brasil) (1998),2022,3.82609
2357,Central Station (Central do Brasil) (1998),2023,4.25000
