movie,movieid,rating
007 - Cassino Royale,49272,3.5
007 - Contra Spectre,136020,3.5
007 - Operação Skyfall,96079,3.5
007 - Quantum of Solace,63113,3.5
007 - Sem Tempo para Morrer,224280,3.5
1917,208703,4
500 Dias Com Ela,69757,4
A Familia do Futuro,52287,4
A Vida De David Gale,47200,4
Alemão,164284,3
Amnésia,4226,4.5
Animais Fantásticos - Os Segredos de Dumbledore,271232,3.5
Animais Fantásticos e Onde Habitam,135143,3
Avatar,72998,4.5
Batman,268642,4.5
Bohemian Rhapsody,192803,4
Cidade de Deus,6016,5
Clube da Luta,2959,4.5
Coringa,204698,5
Corra!,168250,4.5
Creed II,193958,3.5
Creed Nascido Para Lutar,146656,3.5
Deadpool 2,187593,3.5
Doutor Estranho,122922,3
Efeito Borboleta,7254,4
Eu Sou a Lenda,56174,4
Foi Apenas um Sonho,65130,3.5
Forrest Gump O Contador de Histórias,356,5
Fragmentado,250950,3.5
Godzilla vs Kong,242894,2.5
Guardiões da Galáxia,112852,2.5
Guardiões da Galáxia Vol 2,122918,2.5
Harry Potter e a Câmara Secreta,5816,3.5
Harry Potter e a Ordem da Fênix,54001,3
Harry Potter e a Pedra Filosofal,4896,4
Harry Potter e as Reliquias da Morte Parte 1,81834,4.5
Harry Potter e as Reliquias da Morte Parte 2,88125,5
Harry Potter e o Cálice de Fogo,40815,4
Harry Potter e o Enigma do Principe,69844,4.5
Harry Potter e o Prisioneiro de Azkaban,8368,5
Homem Aranha Longe de Casa,201773,3.3
Homem-Aranha - Sem Volta Para Casa,263007,3.5
Homem-Aranha no Aranhaverso,286897,2
Ilha do Medo,74458,5
Jack Reacher - Sem Retorno,165347,3
John Wick 1 de Volta ao Jogo,115149,3.5
John Wick 2 Um Novo Dia Para Matar,168248,3.5
John Wick 3 Parabellum,200818,3.5
Laranja Mecânica,1206,2
Lightyear,274197,3
Logan,168252,4
Maze Runner - Correr ou Morrer,114180,3
Midway Batalha em Alto Mar,208737,3
Minions 2 - A Origem de Gru,135887,3
Morbius,265148,1
O Esquadrão Suicida,135536,3.5
O Galinho Chicken Little,40339,4
O Jogo Da Imitação,116797,4
O Lobo de Wall Street,106782,4
O Menino do Pijama Listrado,64034,4
O Resgate Do Soldado Ryan,2028,5
O Segredo dos Animais,47264,4
O Sexto Sentido,2762,4
O Silêncio dos Inocentes,593,3.5
Olhos Famintos 1,4744,3.5
Olhos Famintos 2,6695,4
Os Croods 2,224983,3
Os Incríveis 2,187541,4
Os Mercenários 2,91485,3.5
Os Suspeitos,104879,3.5
Pantera Negra,122906,3
Parasita,202439,3.5
Pearl Harbor,4310,5
Premonição 1,3409,4
Premonição 2,6058,3
Premonição 3,43679,4
Premonição 4,71252,2
Premonição 5,88932,3.5
Prenda-me se For Capaz,5989,4
Projeto X,93270,4.5
Ratatouille,50872,5
Sem Remorso,247780,3
Shrek,4306,4.5
Shrek 2,8360,5
Snowden Herói ou Traidor,157699,4
Soul,225173,4.5
Superbad - É Hoje,54503,4
Titanic,1721,5
Todo Mundo em Pânico,3785,5
Todo Mundo em Pânico 2,4388,4.5
Todo Mundo em Pânico 3,6888,4.5
Top Gun,274053,4.5
Top Gun 1986,1101,3.5
Transformers 1,53996,5
Transformers 2,69526,4.5
Transformers 3,87520,3.5
Tropa de Elite,55721,5
Tropa de Elite 2,85342,4.5
Uma Noite De Crime - Anarquia,112818,4
Velozes & Furiosos 1,4369,4.5
Velozes & Furiosos 2,6383,4.5
Velozes & Furiosos 3,46335,4
Velozes & Furiosos 4,67923,4
Velozes & Furiosos 5,86644,4
Velozes & Furiosos 6,102716,4
Velozes & Furiosos 7,130634,4.5
Velozes & Furiosos 8,170875,3.5
Velozes & Furiosos 9,249964,3.5
Velozes & Furiosos Hobbs e Shaw,203519,3.5
Venom Tempo de Carnificina,255337,3.5
Vingadores - Guerra Infinita,122912,4
Vingadores - Ultimato Vingadores,122914,4.5
Viva A Vida é uma Festa,177765,4.5
Viúva Negra,242774,2.5
À Procura Da Felicidade,47099,5
